epoch,trn_loss,val_loss,trn_lr,val_lr
1,0.2793199190678382,0.00032211006129378436,0.0001,0.0001
2,0.0009914849352625355,2.5957390660495292e-05,0.0001,0.0001
3,7.670128106951514e-05,7.3403933554770055e-06,0.0001,0.0001
4,0.00015928527629720658,1.108229704404543e-05,0.0001,0.0001
5,2.7724695101396727e-05,1.410933892811878e-05,0.0001,0.0001
6,0.0001658372933941498,1.5583459488041623e-05,0.0001,0.0001
7,6.321781502045614e-05,1.978085446122821e-05,0.0001,0.0001
8,0.000387918268848837,1.6333747350008936e-05,0.0001,0.0001
9,0.00017388974554298885,1.7059556863832997e-05,0.0001,0.0001
10,0.00012176165611624071,1.4793143279670186e-05,7e-05,7e-05
